Date,Price
"Friday, January 7, 2000",114.15
"Friday, January 14, 2000",112.55
"Friday, January 21, 2000",111.2
"Friday, January 28, 2000",114.7
"Friday, February 4, 2000",112.9
"Friday, February 11, 2000",108.8
"Friday, February 18, 2000",104.3
"Friday, February 25, 2000",98.8
"Friday, March 3, 2000",104.35
"Friday, March 10, 2000",106.1
"Friday, March 17, 2000",106.1
"Friday, March 24, 2000",103.15
"Friday, March 31, 2000",103.7
"Friday, April 7, 2000",99.6
"Friday, April 14, 2000",92.65
"Thursday, April 20, 2000",97.75
"Friday, April 28, 2000",95.3
"Friday, May 5, 2000",96.85
"Friday, May 12, 2000",91.8
"Friday, May 19, 2000",97.95
"Friday, May 26, 2000",99.2
"Friday, June 2, 2000",95.55
"Friday, June 9, 2000",91.85
"Friday, June 16, 2000",87.25
"Friday, June 23, 2000",87.05
"Friday, June 30, 2000",84.85
"Friday, July 7, 2000",80.8
"Friday, July 14, 2000",89.15
"Friday, July 21, 2000",96.65
"Friday, July 28, 2000",87.4
"Friday, August 4, 2000",85.6
"Friday, August 11, 2000",80.65
"Friday, August 18, 2000",78.4
"Friday, August 25, 2000",77.75
"Friday, September 1, 2000",75
"Friday, September 8, 2000",77.4
"Friday, September 15, 2000",76.25
"Friday, September 22, 2000",78
"Friday, September 29, 2000",83
"Friday, October 6, 2000",79.45
"Friday, October 13, 2000",81.05
"Friday, October 20, 2000",84.15
"Friday, October 27, 2000",75.6
"Friday, November 3, 2000",73.6
"Friday, November 10, 2000",74.15
"Friday, November 17, 2000",68.55
"Wednesday, November 22, 2000",68.3
"Friday, December 1, 2000",67
"Friday, December 8, 2000",63.65
"Friday, December 15, 2000",62.9
"Friday, December 22, 2000",65.4
"Friday, December 29, 2000",65.55
"Friday, January 5, 2001",64.35
"Friday, January 12, 2001",65
"Friday, January 19, 2001",68.3
"Friday, January 26, 2001",67.1
"Friday, February 2, 2001",63.2
"Friday, February 9, 2001",62.65
"Friday, February 16, 2001",59.8
"Friday, February 23, 2001",64.95
"Friday, March 2, 2001",63.3
"Friday, March 9, 2001",61.7
"Friday, March 16, 2001",59
"Friday, March 23, 2001",60.1
"Friday, March 30, 2001",60.3
"Friday, April 6, 2001",58.1
"Thursday, April 12, 2001",57.6
"Friday, April 20, 2001",57.15
"Friday, April 27, 2001",60.95
"Friday, May 4, 2001",63.65
"Friday, May 11, 2001",64.95
"Friday, May 18, 2001",63.8
"Friday, May 25, 2001",59.9
"Friday, June 1, 2001",57.9
"Friday, June 8, 2001",58.15
"Friday, June 15, 2001",59.4
"Friday, June 22, 2001",55.9
"Friday, June 29, 2001",56.1
"Friday, July 6, 2001",53.85
"Friday, July 13, 2001",52.05
"Friday, July 20, 2001",53.75
"Friday, July 27, 2001",51.3
"Friday, August 3, 2001",50.4
"Friday, August 10, 2001",48.4
"Friday, August 17, 2001",54.35
"Friday, August 24, 2001",50.95
"Friday, August 31, 2001",50.5
"Friday, September 7, 2001",48.5
"Friday, September 21, 2001",49.05
"Friday, September 28, 2001",48.3
"Friday, October 5, 2001",46.65
"Friday, October 12, 2001",44.7
"Friday, October 19, 2001",43.85
"Friday, October 26, 2001",43.4
"Friday, November 2, 2001",45.4
"Friday, November 9, 2001",44.7
"Friday, November 16, 2001",48.65
"Wednesday, November 21, 2001",46.4
"Friday, November 30, 2001",42.6
"Friday, December 7, 2001",43
"Friday, December 14, 2001",43.8
"Friday, December 21, 2001",46.65
"Friday, December 28, 2001",46.2
"Friday, January 4, 2002",48.55
"Friday, January 11, 2002",49.55
"Friday, January 18, 2002",47.4
"Friday, January 25, 2002",45.9
"Friday, February 1, 2002",45.45
"Friday, February 8, 2002",44.55
"Friday, February 15, 2002",44.1
"Friday, February 22, 2002",48
"Friday, March 1, 2002",45.85
"Friday, March 8, 2002",48.45
"Friday, March 15, 2002",54.75
"Friday, March 22, 2002",54.3
"Thursday, March 28, 2002",57.2
"Friday, April 5, 2002",55
"Friday, April 12, 2002",53.2
"Friday, April 19, 2002",53.05
"Friday, April 26, 2002",49.7
"Friday, May 3, 2002",49
"Friday, May 10, 2002",47.5
"Friday, May 17, 2002",48.4
"Friday, May 24, 2002",51.4
"Friday, May 31, 2002",51.9
"Friday, June 7, 2002",49.15
"Friday, June 14, 2002",46.45
"Friday, June 21, 2002",47.1
"Friday, June 28, 2002",46.5
"Wednesday, July 3, 2002",48.15
"Friday, July 12, 2002",49.85
"Friday, July 19, 2002",47.35
"Friday, July 26, 2002",48.4
"Friday, August 2, 2002",48.1
"Friday, August 9, 2002",47.55
"Friday, August 16, 2002",46.9
"Friday, August 23, 2002",49.2
"Friday, August 30, 2002",51.5
"Friday, September 6, 2002",55.5
"Friday, September 13, 2002",59.8
"Friday, September 20, 2002",56.05
"Friday, September 27, 2002",55.65
"Friday, October 4, 2002",56
"Friday, October 11, 2002",57.35
"Friday, October 18, 2002",62.6
"Friday, October 25, 2002",68.55
"Friday, November 1, 2002",64
"Friday, November 8, 2002",67.85
"Friday, November 15, 2002",66.4
"Friday, November 22, 2002",66.8
"Wednesday, November 27, 2002",66.6
"Friday, December 6, 2002",63.4
"Friday, December 13, 2002",56.85
"Friday, December 20, 2002",62.2
"Friday, December 27, 2002",61.35
"Friday, January 3, 2003",61.25
"Friday, January 10, 2003",65.05
"Friday, January 17, 2003",66.25
"Friday, January 24, 2003",67.65
"Friday, January 31, 2003",65.3
"Friday, February 7, 2003",65.8
"Friday, February 14, 2003",62.65
"Friday, February 21, 2003",61.6
"Friday, February 28, 2003",56.85
"Friday, March 7, 2003",58.65
"Friday, March 14, 2003",57.7
"Friday, March 21, 2003",61.3
"Friday, March 28, 2003",58.25
"Friday, April 4, 2003",60.8
"Friday, April 11, 2003",60.45
"Thursday, April 17, 2003",62.45
"Friday, April 25, 2003",63.75
"Friday, May 2, 2003",67
"Friday, May 9, 2003",67.7
"Friday, May 16, 2003",64.7
"Friday, May 23, 2003",65.65
"Friday, May 30, 2003",58.35
"Friday, June 6, 2003",59.4
"Friday, June 13, 2003",60.5
"Friday, June 20, 2003",56.05
"Friday, June 27, 2003",58.4
"Thursday, July 3, 2003",60.5
"Friday, July 11, 2003",60.2
"Friday, July 18, 2003",62.3
"Friday, July 25, 2003",60.85
"Friday, August 1, 2003",65.05
"Friday, August 8, 2003",63.7
"Friday, August 15, 2003",60.1
"Friday, August 22, 2003",60.3
